AA, DFW, ELP, 20200709, 0, 0, 98, 97
AA, DFW, ELP, 20200710, 0, 0, 98, 109
AA, DFW, ELP, 20200711, 0, 0, 98, 92
AA, DFW, ELP, 20200712, 0, 0, 98, 97
AA, DFW, ELP, 20200713, 0, 0, 98, 90
AA, DFW, ELP, 20200716, 0, 0, 98, 100
AA, DFW, ELP, 20200717, 0, 0, 98, 92
AA, DFW, ELP, 20200718, 0, 0, 98, 88
AA, DFW, ELP, 20200719, 0, 0, 98, 87
AA, DFW, ELP, 20200720, 0, 0, 98, 84
AA, DFW, ELP, 20200723, 0, 0, 98, 102
AA, DFW, ELP, 20200724, 0, 0, 98, 85
AA, DFW, ELP, 20200725, 0, 0, 98, 87
AA, DFW, ELP, 20200726, 0, 0, 98, 95
AA, DFW, ELP, 20200727, 0, 0, 98, 94
AA, DFW, ELP, 20200730, 0, 0, 98, 105
AA, DFW, ELP, 20200731, 0, 0, 98, 109
AA, DFW, ELP, 20200707, 0, 0, 107, 91
AA, DFW, ELP, 20200708, 0, 0, 107, 82
AA, DFW, ELP, 20200711, 0, 0, 107, 101
AA, DFW, ELP, 20200713, 0, 0, 107, 97
AA, DFW, ELP, 20200714, 0, 0, 107, 95
AA, DFW, ELP, 20200715, 0, 0, 107, 93
AA, DFW, ELP, 20200718, 0, 0, 107, 92
AA, DFW, ELP, 20200720, 0, 0, 107, 99
AA, DFW, ELP, 20200721, 0, 0, 107, 100
AA, DFW, ELP, 20200722, 0, 0, 107, 102
AA, DFW, ELP, 20200725, 0, 0, 107, 95
AA, DFW, ELP, 20200727, 0, 0, 107, 96
AA, DFW, ELP, 20200728, 0, 0, 107, 103
AA, DFW, ELP, 20200729, 0, 0, 107, 115
AA, DFW, ELP, 20200707, 0, 0, 104, 92
AA, DFW, ELP, 20200708, 0, 0, 104, 108
AA, DFW, ELP, 20200709, 0, 0, 104, 100
AA, DFW, ELP, 20200710, 0, 0, 104, 95
AA, DFW, ELP, 20200712, 0, 0, 104, 90
AA, DFW, ELP, 20200713, 0, 0, 104, 94
AA, DFW, ELP, 20200714, 0, 0, 104, 95
AA, DFW, ELP, 20200715, 0, 0, 104, 95
AA, DFW, ELP, 20200716, 0, 0, 104, 93
AA, DFW, ELP, 20200717, 0, 0, 104, 91
AA, DFW, ELP, 20200719, 0, 0, 104, 95
AA, DFW, ELP, 20200720, 0, 0, 104, 100
AA, DFW, ELP, 20200721, 0, 0, 104, 96
AA, DFW, ELP, 20200722, 0, 0, 104, 108
AA, DFW, ELP, 20200723, 0, 0, 104, 96
AA, DFW, ELP, 20200724, 0, 0, 104, 97
AA, DFW, ELP, 20200726, 0, 0, 104, 97
AA, DFW, ELP, 20200727, 0, 0, 104, 91
AA, DFW, ELP, 20200728, 0, 0, 104, 112
AA, DFW, ELP, 20200729, 0, 0, 104, 97
AA, DFW, ELP, 20200730, 0, 0, 104, 100
AA, DFW, ELP, 20200731, 0, 0, 104, 120
DL, ATL, ELP, 20200701, 0, 0, 173, 187
DL, ATL, ELP, 20200702, 0, 0, 174, 178
DL, ATL, ELP, 20200703, 0, 0, 174, 172
DL, ATL, ELP, 20200704, 0, 0, 174, 172
DL, ATL, ELP, 20200705, 0, 0, 174, 170
DL, ATL, ELP, 20200706, 0, 0, 174, 173
DL, ATL, ELP, 20200707, 0, 0, 174, 175
DL, ATL, ELP, 20200727, 0, 0, 174, 171
DL, ATL, ELP, 20200728, 0, 0, 174, 174
DL, ATL, ELP, 20200729, 0, 0, 174, 186
DL, ATL, ELP, 20200730, 0, 0, 174, 174
DL, ATL, ELP, 20200731, 0, 0, 174, 181
DL, ATL, ELP, 20200708, 0, 0, 174, 183
DL, ATL, ELP, 20200709, 0, 0, 174, 177
DL, ATL, ELP, 20200710, 0, 0, 174, 171
DL, ATL, ELP, 20200711, 0, 0, 174, 172
DL, ATL, ELP, 20200712, 0, 0, 174, 182
DL, ATL, ELP, 20200713, 0, 0, 174, 173
DL, ATL, ELP, 20200714, 0, 0, 174, 170
DL, ATL, ELP, 20200715, 0, 0, 174, 169
DL, ATL, ELP, 20200716, 0, 0, 174, 169
DL, ATL, ELP, 20200717, 0, 0, 174, 168
DL, ATL, ELP, 20200718, 0, 0, 174, 165
DL, ATL, ELP, 20200719, 0, 0, 174, 169
DL, ATL, ELP, 20200720, 0, 0, 174, 174
DL, ATL, ELP, 20200721, 0, 0, 174, 169
DL, ATL, ELP, 20200722, 0, 0, 174, 177
DL, ATL, ELP, 20200723, 0, 0, 174, 173
DL, ATL, ELP, 20200724, 0, 0, 174, 168
DL, ATL, ELP, 20200725, 0, 0, 174, 170
DL, ATL, ELP, 20200726, 0, 0, 174, 165
F9, DEN, ELP, 20200704, 0, 0, 103, 181
F9, DEN, ELP, 20200711, 0, 0, 103, 100
F9, DEN, ELP, 20200718, 0, 0, 103, 102
F9, DEN, ELP, 20200725, 0, 0, 103, 113
G4, SFB, ELP, 20200723, 0, 0, 226, 194
G4, LAS, ELP, 20200723, 0, 0, 103, 99
G4, LAS, ELP, 20200712, 0, 0, 103, 97
G4, LAS, ELP, 20200705, 0, 0, 103, 97
G4, LAS, ELP, 20200716, 0, 0, 103, 98
G4, LAS, ELP, 20200702, 0, 0, 103, 96
G4, LAS, ELP, 20200730, 0, 0, 103, 94
G4, SFB, ELP, 20200705, 0, 0, 226, 206
G4, SFB, ELP, 20200716, 0, 0, 226, 196
G4, LAS, ELP, 20200719, 0, 0, 103, 97
G4, SFB, ELP, 20200702, 0, 0, 226, 201
G4, SFB, ELP, 20200726, 0, 0, 226, 205
G4, SFB, ELP, 20200712, 0, 0, 226, 201
G4, SFB, ELP, 20200730, 0, 0, 225, 201
G4, SFB, ELP, 20200719, 0, 0, 226, 193
G4, LAS, ELP, 20200709, 0, 0, 103, 98
