AA, DFW, ELP, 20200301, 0, 0, 117, 118
AA, DFW, ELP, 20200302, 0, 0, 117, 102
AA, DFW, ELP, 20200303, 0, 0, 117, 118
AA, DFW, ELP, 20200304, 0, 0, 117, 107
AA, DFW, ELP, 20200305, 0, 0, 111, 108
AA, DFW, ELP, 20200306, 0, 0, 111, 102
AA, DFW, ELP, 20200307, 0, 0, 111, 113
AA, DFW, ELP, 20200308, 0, 0, 111, 106
AA, DFW, ELP, 20200309, 0, 0, 111, 108
AA, DFW, ELP, 20200310, 0, 0, 111, 91
AA, DFW, ELP, 20200311, 0, 0, 111, 115
AA, DFW, ELP, 20200312, 0, 0, 111, 107
AA, DFW, ELP, 20200313, 0, 0, 111, 115
AA, DFW, ELP, 20200314, 0, 0, 111, 109
AA, DFW, ELP, 20200315, 0, 0, 111, 122
AA, DFW, ELP, 20200316, 0, 0, 111, 111
AA, DFW, ELP, 20200317, 0, 0, 111, 142
AA, DFW, ELP, 20200318, 0, 0, 111, 141
AA, DFW, ELP, 20200319, 0, 0, 111, 105
AA, DFW, ELP, 20200320, 0, 0, 111, 123
AA, DFW, ELP, 20200321, 0, 0, 111, 143
AA, DFW, ELP, 20200322, 0, 0, 111, 108
AA, DFW, ELP, 20200323, 0, 0, 111, 0
AA, DFW, ELP, 20200324, 0, 0, 111, 117
AA, DFW, ELP, 20200325, 0, 0, 111, 100
AA, DFW, ELP, 20200326, 0, 0, 111, 0
AA, DFW, ELP, 20200327, 0, 0, 111, 0
AA, DFW, ELP, 20200328, 0, 0, 111, 0
AA, DFW, ELP, 20200329, 0, 0, 111, 111
AA, DFW, ELP, 20200330, 0, 0, 111, 0
AA, DFW, ELP, 20200331, 0, 0, 111, 0
AA, PHX, ELP, 20200301, 0, 0, 75, 68
AA, PHX, ELP, 20200302, 0, 0, 75, 69
AA, PHX, ELP, 20200303, 0, 0, 75, 79
AA, PHX, ELP, 20200304, 0, 0, 75, 71
AA, DFW, ELP, 20200301, 0, 0, 113, 124
AA, DFW, ELP, 20200302, 0, 0, 113, 116
AA, DFW, ELP, 20200303, 0, 0, 113, 111
AA, DFW, ELP, 20200304, 0, 0, 113, 100
AA, DFW, ELP, 20200305, 0, 0, 106, 94
AA, DFW, ELP, 20200306, 0, 0, 106, 98
AA, DFW, ELP, 20200307, 0, 0, 106, 110
AA, DFW, ELP, 20200308, 0, 0, 106, 101
AA, DFW, ELP, 20200309, 0, 0, 106, 98
AA, DFW, ELP, 20200310, 0, 0, 106, 105
AA, DFW, ELP, 20200311, 0, 0, 106, 103
AA, DFW, ELP, 20200312, 0, 0, 106, 111
AA, DFW, ELP, 20200313, 0, 0, 106, 105
AA, DFW, ELP, 20200314, 0, 0, 106, 100
AA, DFW, ELP, 20200315, 0, 0, 106, 101
AA, DFW, ELP, 20200316, 0, 0, 106, 109
AA, DFW, ELP, 20200317, 0, 0, 106, 100
AA, DFW, ELP, 20200318, 0, 0, 106, 110
AA, DFW, ELP, 20200319, 0, 0, 106, 126
AA, DFW, ELP, 20200320, 0, 0, 106, 107
AA, DFW, ELP, 20200321, 0, 0, 106, 123
AA, DFW, ELP, 20200322, 0, 0, 106, 111
AA, DFW, ELP, 20200323, 0, 0, 106, 115
AA, DFW, ELP, 20200324, 0, 0, 106, 0
AA, DFW, ELP, 20200325, 0, 0, 106, 0
AA, DFW, ELP, 20200326, 0, 0, 106, 0
AA, DFW, ELP, 20200327, 0, 0, 106, 0
AA, DFW, ELP, 20200328, 0, 0, 106, 0
AA, DFW, ELP, 20200329, 0, 0, 106, 0
AA, DFW, ELP, 20200330, 0, 0, 106, 0
AA, DFW, ELP, 20200331, 0, 0, 106, 0
AA, DFW, ELP, 20200301, 0, 0, 118, 106
AA, DFW, ELP, 20200302, 0, 0, 118, 121
AA, DFW, ELP, 20200303, 0, 0, 118, 111
AA, DFW, ELP, 20200304, 0, 0, 118, 93
AA, DFW, ELP, 20200305, 0, 0, 112, 120
AA, DFW, ELP, 20200306, 0, 0, 112, 110
AA, DFW, ELP, 20200308, 0, 0, 112, 111
AA, DFW, ELP, 20200309, 0, 0, 112, 110
AA, DFW, ELP, 20200310, 0, 0, 112, 105
AA, DFW, ELP, 20200311, 0, 0, 112, 106
AA, DFW, ELP, 20200312, 0, 0, 112, 114
