AA, ELP, PHX, 20200301, 0, 0, 88, 86
AA, ELP, PHX, 20200302, 0, 0, 88, 87
AA, ELP, PHX, 20200303, 0, 0, 88, 86
AA, ELP, PHX, 20200304, 0, 0, 88, 70
AA, ELP, DFW, 20200301, 0, 0, 107, 112
AA, ELP, DFW, 20200302, 0, 0, 107, 84
AA, ELP, DFW, 20200303, 0, 0, 107, 88
AA, ELP, DFW, 20200304, 0, 0, 107, 108
AA, ELP, DFW, 20200305, 0, 0, 106, 90
AA, ELP, DFW, 20200306, 0, 0, 106, 106
AA, ELP, DFW, 20200307, 0, 0, 106, 103
AA, ELP, DFW, 20200308, 0, 0, 106, 98
AA, ELP, DFW, 20200309, 0, 0, 106, 101
AA, ELP, DFW, 20200310, 0, 0, 106, 103
AA, ELP, DFW, 20200311, 0, 0, 106, 100
AA, ELP, DFW, 20200312, 0, 0, 106, 96
AA, ELP, DFW, 20200313, 0, 0, 106, 110
AA, ELP, DFW, 20200314, 0, 0, 106, 98
AA, ELP, DFW, 20200315, 0, 0, 106, 104
AA, ELP, DFW, 20200316, 0, 0, 106, 107
AA, ELP, DFW, 20200317, 0, 0, 106, 109
AA, ELP, DFW, 20200318, 0, 0, 106, 111
AA, ELP, DFW, 20200319, 0, 0, 106, 121
AA, ELP, DFW, 20200320, 0, 0, 106, 90
AA, ELP, DFW, 20200321, 0, 0, 106, 112
AA, ELP, DFW, 20200322, 0, 0, 106, 94
AA, ELP, DFW, 20200323, 0, 0, 106, 97
AA, ELP, DFW, 20200324, 0, 0, 106, 0
AA, ELP, DFW, 20200325, 0, 0, 106, 0
AA, ELP, DFW, 20200326, 0, 0, 106, 0
AA, ELP, DFW, 20200327, 0, 0, 106, 0
AA, ELP, DFW, 20200328, 0, 0, 106, 0
AA, ELP, DFW, 20200329, 0, 0, 106, 92
AA, ELP, DFW, 20200330, 0, 0, 106, 0
AA, ELP, DFW, 20200331, 0, 0, 106, 0
AA, ELP, DFW, 20200301, 0, 0, 104, 92
AA, ELP, DFW, 20200302, 0, 0, 104, 88
AA, ELP, DFW, 20200303, 0, 0, 104, 92
AA, ELP, DFW, 20200304, 0, 0, 104, 96
AA, ELP, DFW, 20200305, 0, 0, 103, 111
AA, ELP, DFW, 20200306, 0, 0, 103, 99
AA, ELP, DFW, 20200308, 0, 0, 103, 110
AA, ELP, DFW, 20200309, 0, 0, 103, 110
AA, ELP, DFW, 20200310, 0, 0, 103, 102
AA, ELP, DFW, 20200311, 0, 0, 103, 95
AA, ELP, DFW, 20200312, 0, 0, 103, 116
AA, ELP, DFW, 20200313, 0, 0, 103, 107
AA, ELP, DFW, 20200315, 0, 0, 103, 92
AA, ELP, DFW, 20200316, 0, 0, 103, 112
AA, ELP, DFW, 20200317, 0, 0, 103, 112
AA, ELP, DFW, 20200318, 0, 0, 103, 102
AA, ELP, DFW, 20200319, 0, 0, 103, 95
AA, ELP, DFW, 20200320, 0, 0, 103, 0
AA, ELP, DFW, 20200322, 0, 0, 103, 92
AA, ELP, DFW, 20200323, 0, 0, 103, 91
AA, ELP, DFW, 20200324, 0, 0, 103, 0
AA, ELP, DFW, 20200325, 0, 0, 103, 0
AA, ELP, DFW, 20200326, 0, 0, 103, 0
AA, ELP, DFW, 20200327, 0, 0, 103, 0
AA, ELP, DFW, 20200329, 0, 0, 103, 85
AA, ELP, DFW, 20200330, 0, 0, 103, 0
AA, ELP, DFW, 20200331, 0, 0, 103, 0
AA, ELP, DFW, 20200310, 0, 0, 104, 96
AA, ELP, DFW, 20200317, 0, 0, 104, 101
AA, ELP, DFW, 20200324, 0, 0, 104, 0
AA, ELP, DFW, 20200331, 0, 0, 104, 0
AA, ELP, PHX, 20200305, 0, 0, 85, 78
AA, ELP, PHX, 20200306, 0, 0, 85, 111
AA, ELP, PHX, 20200308, 0, 0, 85, 76
AA, ELP, PHX, 20200309, 0, 0, 85, 81
AA, ELP, PHX, 20200310, 0, 0, 85, 78
AA, ELP, PHX, 20200311, 0, 0, 85, 85
AA, ELP, PHX, 20200312, 0, 0, 85, 91
AA, ELP, PHX, 20200313, 0, 0, 85, 100
AA, ELP, PHX, 20200315, 0, 0, 85, 71
AA, ELP, PHX, 20200316, 0, 0, 85, 0
AA, ELP, PHX, 20200317, 0, 0, 85, 76
AA, ELP, PHX, 20200318, 0, 0, 85, 85
AA, ELP, PHX, 20200319, 0, 0, 85, 79
AA, ELP, PHX, 20200320, 0, 0, 85, 89
AA, ELP, PHX, 20200322, 0, 0, 85, 95
AA, ELP, PHX, 20200323, 0, 0, 85, 80
AA, ELP, PHX, 20200324, 0, 0, 85, 90
AA, ELP, PHX, 20200325, 0, 0, 85, 0
AA, ELP, PHX, 20200326, 0, 0, 85, 0
AA, ELP, PHX, 20200327, 0, 0, 85, 88
AA, ELP, PHX, 20200329, 0, 0, 85, 0
AA, ELP, PHX, 20200330, 0, 0, 85, 0
AA, ELP, PHX, 20200331, 0, 0, 85, 0
AA, ELP, PHX, 20200307, 0, 0, 85, 79
AA, ELP, PHX, 20200314, 0, 0, 85, 79
AA, ELP, PHX, 20200321, 0, 0, 85, 0
AA, ELP, PHX, 20200328, 0, 0, 85, 88
AA, ELP, DFW, 20200303, 0, 0, 107, 109
AA, ELP, DFW, 20200301, 0, 0, 106, 103
AA, ELP, DFW, 20200302, 0, 0, 106, 95
AA, ELP, DFW, 20200303, 0, 0, 106, 82
AA, ELP, DFW, 20200304, 0, 0, 106, 102
AA, ELP, DFW, 20200305, 0, 0, 107, 98
AA, ELP, DFW, 20200306, 0, 0, 107, 101
AA, ELP, DFW, 20200307, 0, 0, 107, 100
AA, ELP, DFW, 20200308, 0, 0, 107, 113
AA, ELP, DFW, 20200309, 0, 0, 107, 97
AA, ELP, DFW, 20200310, 0, 0, 107, 91
AA, ELP, DFW, 20200311, 0, 0, 107, 95
AA, ELP, DFW, 20200312, 0, 0, 107, 106
AA, ELP, DFW, 20200313, 0, 0, 107, 105
AA, ELP, DFW, 20200314, 0, 0, 107, 98
AA, ELP, DFW, 20200315, 0, 0, 107, 99
AA, ELP, DFW, 20200316, 0, 0, 107, 99
AA, ELP, DFW, 20200317, 0, 0, 107, 107
AA, ELP, DFW, 20200318, 0, 0, 107, 132
AA, ELP, DFW, 20200319, 0, 0, 107, 95
AA, ELP, DFW, 20200320, 0, 0, 107, 93
AA, ELP, DFW, 20200321, 0, 0, 107, 119
AA, ELP, DFW, 20200322, 0, 0, 107, 97
AA, ELP, DFW, 20200323, 0, 0, 107, 0
AA, ELP, DFW, 20200324, 0, 0, 107, 94
AA, ELP, DFW, 20200325, 0, 0, 107, 89
AA, ELP, DFW, 20200326, 0, 0, 107, 0
AA, ELP, DFW, 20200327, 0, 0, 107, 0
AA, ELP, DFW, 20200328, 0, 0, 107, 0
AA, ELP, DFW, 20200329, 0, 0, 107, 109
AA, ELP, DFW, 20200330, 0, 0, 107, 0
AA, ELP, DFW, 20200331, 0, 0, 107, 0
AA, ELP, DFW, 20200301, 0, 0, 102, 107
AA, ELP, DFW, 20200302, 0, 0, 102, 91
AA, ELP, DFW, 20200303, 0, 0, 102, 87
AA, ELP, DFW, 20200304, 0, 0, 102, 113
AA, ELP, DFW, 20200305, 0, 0, 103, 99
AA, ELP, DFW, 20200306, 0, 0, 103, 100
AA, ELP, DFW, 20200307, 0, 0, 103, 98
AA, ELP, DFW, 20200308, 0, 0, 103, 108
AA, ELP, DFW, 20200309, 0, 0, 103, 96
AA, ELP, DFW, 20200310, 0, 0, 103, 99
AA, ELP, DFW, 20200311, 0, 0, 103, 102
AA, ELP, DFW, 20200312, 0, 0, 103, 107
AA, ELP, DFW, 20200313, 0, 0, 103, 104
AA, ELP, DFW, 20200314, 0, 0, 103, 110
AA, ELP, DFW, 20200315, 0, 0, 103, 97
AA, ELP, DFW, 20200316, 0, 0, 103, 105
AA, ELP, DFW, 20200317, 0, 0, 103, 97
AA, ELP, DFW, 20200318, 0, 0, 103, 110
AA, ELP, DFW, 20200319, 0, 0, 103, 104
AA, ELP, DFW, 20200320, 0, 0, 103, 90
AA, ELP, DFW, 20200321, 0, 0, 103, 96
AA, ELP, DFW, 20200322, 0, 0, 103, 97
AA, ELP, DFW, 20200323, 0, 0, 103, 98
AA, ELP, DFW, 20200324, 0, 0, 103, 85
AA, ELP, DFW, 20200325, 0, 0, 103, 0
AA, ELP, DFW, 20200326, 0, 0, 103, 93
AA, ELP, DFW, 20200327, 0, 0, 103, 0
AA, ELP, DFW, 20200328, 0, 0, 103, 0
AA, ELP, DFW, 20200329, 0, 0, 103, 90
AA, ELP, DFW, 20200330, 0, 0, 103, 92
AA, ELP, DFW, 20200331, 0, 0, 103, 86
AA, ELP, DFW, 20200301, 0, 0, 102, 109
AA, ELP, DFW, 20200302, 0, 0, 102, 92
AA, ELP, DFW, 20200303, 0, 0, 102, 88
AA, ELP, DFW, 20200304, 0, 0, 102, 111
AA, ELP, DFW, 20200305, 0, 0, 104, 125
AA, ELP, DFW, 20200306, 0, 0, 104, 108
AA, ELP, DFW, 20200307, 0, 0, 104, 99
AA, ELP, DFW, 20200308, 0, 0, 104, 112
AA, ELP, DFW, 20200309, 0, 0, 104, 106
AA, ELP, DFW, 20200310, 0, 0, 104, 111
