2020-07-01, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-01, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-01, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-01, El Paso, TX, TX, Atlanta, GA, GA, 0.00, 
2020-07-01, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-01, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-01, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-01, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-01, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-01, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-01, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-01, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-01, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-01, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-01, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-01, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-01, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-02, El Paso, TX, TX, Atlanta, GA, GA, 0.00, 
2020-07-02, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-02, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-02, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-02, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-02, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-02, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-02, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-02, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-02, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-02, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-02, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-02, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-02, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-02, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-02, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-02, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-02, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-02, El Paso, TX, TX, Sanford, FL, FL, 0.00, 
2020-07-02, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-03, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-03, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-03, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-03, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-03, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-03, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-03, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-03, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-03, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-03, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-03, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-03, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-03, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-03, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-03, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-03, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-03, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-03, El Paso, TX, TX, Atlanta, GA, GA, 0.00, 
2020-07-03, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-04, El Paso, TX, TX, Atlanta, GA, GA, 0.00, 
2020-07-04, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-04, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-04, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-04, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-04, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-04, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-04, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-04, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-04, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-04, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-04, El Paso, TX, TX, Denver, CO, CO, 0.00, 
2020-07-04, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-04, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-04, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-04, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-05, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-05, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-05, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-05, El Paso, TX, TX, Sanford, FL, FL, 0.00, 
2020-07-05, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-05, El Paso, TX, TX, Atlanta, GA, GA, 0.00, 
2020-07-05, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-05, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-05, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-05, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-05, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-05, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-05, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-05, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-05, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-05, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-05, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-05, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-05, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-05, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-06, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-06, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-06, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-06, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-06, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-06, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-06, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-06, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-06, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-06, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-06, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-06, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-06, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-06, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-06, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-06, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-06, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-06, El Paso, TX, TX, Atlanta, GA, GA, 0.00, 
2020-07-07, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-07, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-07, El Paso, TX, TX, Dallas, TX, TX, 0.00, 
2020-07-07, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-07, El Paso, TX, TX, Las Vegas, NV, NV, 0.00, 
2020-07-07, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-07, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-07, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-07, El Paso, TX, TX, Atlanta, GA, GA, 0.00, 
2020-07-07, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-07, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-07, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-07, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-07, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-07, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-07, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-07, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-07, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-07, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-08, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-08, El Paso, TX, TX, Chicago, IL, IL, 0.00, 
2020-07-08, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-08, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-08, El Paso, TX, TX, Atlanta, GA, GA, 0.00, 
2020-07-08, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-08, El Paso, TX, TX, Houston, TX, TX, 0.00, 
2020-07-08, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-08, El Paso, TX, TX, Dallas/Fort Worth, TX, TX, 0.00, 
2020-07-08, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
2020-07-08, El Paso, TX, TX, Phoenix, AZ, AZ, 0.00, 
